layer,order_k,n_subsets,descriptive_raw_score_mean,descriptive_raw_score_sd_across_subsets,min_subset_raw_score,max_subset_raw_score,max_critic_seed_sd,interpretation
9,4,1,0.6639883696205086,0.0,0.6639883696205086,0.6639883696205086,0.03646422382286492,descriptive mean of independently estimated fixed-subset neural dependence scores
10,4,1,0.6578490138053894,0.0,0.6578490138053894,0.6578490138053894,0.08626302137321672,descriptive mean of independently estimated fixed-subset neural dependence scores
11,4,1,0.7007977979050741,0.0,0.7007977979050741,0.7007977979050741,0.06863346230286518,descriptive mean of independently estimated fixed-subset neural dependence scores
12,4,1,0.28860277237577575,0.0,0.28860277237577575,0.28860277237577575,0.6556075095246826,descriptive mean of independently estimated fixed-subset neural dependence scores
13,4,1,0.6475875750184059,0.0,0.6475875750184059,0.6475875750184059,0.10168630901144582,descriptive mean of independently estimated fixed-subset neural dependence scores
14,4,1,0.7486940763062901,0.0,0.7486940763062901,0.7486940763062901,0.03748436931726036,descriptive mean of independently estimated fixed-subset neural dependence scores
15,4,1,0.5503499706586202,0.0,0.5503499706586202,0.5503499706586202,0.3214295582249612,descriptive mean of independently estimated fixed-subset neural dependence scores
16,4,1,0.5372547888093524,0.0,0.5372547888093524,0.5372547888093524,0.28174516843394676,descriptive mean of independently estimated fixed-subset neural dependence scores
17,4,1,0.698205441236496,0.0,0.698205441236496,0.698205441236496,0.019089404313662472,descriptive mean of independently estimated fixed-subset neural dependence scores
18,4,1,0.6214305096202427,0.0,0.6214305096202427,0.6214305096202427,0.07300452943790407,descriptive mean of independently estimated fixed-subset neural dependence scores
19,4,1,0.665301455391778,0.0,0.665301455391778,0.665301455391778,0.01462777209148457,descriptive mean of independently estimated fixed-subset neural dependence scores
20,4,1,0.6516363629036479,0.0,0.6516363629036479,0.6516363629036479,0.06730369294063872,descriptive mean of independently estimated fixed-subset neural dependence scores
21,4,1,0.6005907720989652,0.0,0.6005907720989652,0.6005907720989652,0.061870307122765665,descriptive mean of independently estimated fixed-subset neural dependence scores
22,4,1,0.6508782671557533,0.0,0.6508782671557533,0.6508782671557533,0.04927442247671231,descriptive mean of independently estimated fixed-subset neural dependence scores
23,4,1,0.6714360134469138,0.0,0.6714360134469138,0.6714360134469138,0.0375458117371774,descriptive mean of independently estimated fixed-subset neural dependence scores
24,4,1,0.6417963206768036,0.0,0.6417963206768036,0.6417963206768036,0.04988612648544178,descriptive mean of independently estimated fixed-subset neural dependence scores
25,4,1,0.6588208675384521,0.0,0.6588208675384521,0.6588208675384521,0.03658909333175027,descriptive mean of independently estimated fixed-subset neural dependence scores
26,4,1,0.6800472488005956,0.0,0.6800472488005956,0.6800472488005956,0.05741222753163207,descriptive mean of independently estimated fixed-subset neural dependence scores
27,4,1,0.6718796739975611,0.0,0.6718796739975611,0.6718796739975611,0.03658515436654288,descriptive mean of independently estimated fixed-subset neural dependence scores
28,4,1,0.6561861630115243,0.0,0.6561861630115243,0.6561861630115243,0.027799795222625885,descriptive mean of independently estimated fixed-subset neural dependence scores
29,4,1,0.6782443275054296,0.0,0.6782443275054296,0.6782443275054296,0.09918618013659214,descriptive mean of independently estimated fixed-subset neural dependence scores
30,4,1,0.6046803941329321,0.0,0.6046803941329321,0.6046803941329321,0.025097205389902583,descriptive mean of independently estimated fixed-subset neural dependence scores
