layer,order_k,n_subsets,mean_peak_normalized_score,sd_peak_normalized_score_across_subsets,min_peak_normalized_score,max_peak_normalized_score,interpretation
1,3,4,0.8263502794751554,0.049409520444424135,0.7689356399681517,0.8872369980033019,descriptive mean after within-subset peak normalization
2,3,4,0.8052981084832843,0.05663017099635766,0.7266243101236125,0.8507872860088842,descriptive mean after within-subset peak normalization
3,3,4,0.891503346730248,0.010938211824809878,0.8814963771235664,0.90309190845276,descriptive mean after within-subset peak normalization
4,3,4,0.8287154958879615,0.07065628574310068,0.7510369872542427,0.9061676882282745,descriptive mean after within-subset peak normalization
5,3,4,0.849365105723902,0.02532811925543461,0.8125346782778113,0.8689968624906421,descriptive mean after within-subset peak normalization
6,3,4,0.8411211282793655,0.05158191406118939,0.7655586885528515,0.8805829465746631,descriptive mean after within-subset peak normalization
7,3,4,0.8475232067109602,0.09670995578586615,0.7073786704409144,0.9147981778096289,descriptive mean after within-subset peak normalization
8,3,4,0.8560786651803228,0.12843673377642273,0.6747594829908699,0.9728351318419781,descriptive mean after within-subset peak normalization
9,3,4,0.8912644194368565,0.06207335579712222,0.8220831123901465,0.9716885557593253,descriptive mean after within-subset peak normalization
10,3,4,0.9278840592716228,0.04930400977534076,0.888419396748815,1.0,descriptive mean after within-subset peak normalization
11,3,4,0.9625879011058951,0.032863278329600884,0.9232882591412047,1.0,descriptive mean after within-subset peak normalization
12,3,4,0.8874459933340924,0.17838911713086514,0.6216087359726256,0.9941400752241398,descriptive mean after within-subset peak normalization
13,3,4,0.9070316027287757,0.10511312929142116,0.7559868376364207,1.0,descriptive mean after within-subset peak normalization
14,3,4,0.8939659022271204,0.07234024005555849,0.8186483955779283,0.9919766061366672,descriptive mean after within-subset peak normalization
15,3,4,0.9469178991965047,0.06451576551674768,0.8537150812530411,1.0,descriptive mean after within-subset peak normalization
16,3,4,0.9123779189299659,0.02129155298270541,0.8827732594481371,0.9315664627562006,descriptive mean after within-subset peak normalization
17,3,4,0.8331987002447029,0.08294182120324076,0.7115102780209837,0.8899642543824967,descriptive mean after within-subset peak normalization
18,3,4,0.8906662354945387,0.0726959107187067,0.78508038792291,0.9434075038660122,descriptive mean after within-subset peak normalization
19,3,4,0.8268270977498231,0.1354676636488384,0.6314555484979304,0.9210929777086146,descriptive mean after within-subset peak normalization
20,3,4,0.8710226435229723,0.05104261941800914,0.8099595503289025,0.9349234850789896,descriptive mean after within-subset peak normalization
21,3,4,0.839658601092223,0.10148243000265302,0.7010782494711539,0.922609538567549,descriptive mean after within-subset peak normalization
22,3,4,0.8318460366979162,0.05311396531632754,0.785015404134341,0.8898939983803937,descriptive mean after within-subset peak normalization
23,3,4,0.8047312318272353,0.14961498921222635,0.5970207352350914,0.9173096439182966,descriptive mean after within-subset peak normalization
24,3,4,0.841997191470214,0.05880447091860457,0.7728644962476935,0.9088163538535856,descriptive mean after within-subset peak normalization
25,3,4,0.8422149037767628,0.036391466320046896,0.8096587511206486,0.8775577587328761,descriptive mean after within-subset peak normalization
26,3,4,0.865660782141397,0.03965652623256251,0.8280143640397413,0.9196797811423245,descriptive mean after within-subset peak normalization
27,3,4,0.9087898312432843,0.060057861043869634,0.8713156015189857,0.9982112610483215,descriptive mean after within-subset peak normalization
28,3,4,0.8365226513104406,0.0913285638596586,0.701503176654633,0.9002483895618735,descriptive mean after within-subset peak normalization
29,3,4,0.8932089923360592,0.03092315161061038,0.8569734985549811,0.9246413125191938,descriptive mean after within-subset peak normalization
30,3,4,0.9100522962325894,0.0829765041882467,0.7881706587946335,0.9702169511823586,descriptive mean after within-subset peak normalization
0,4,1,-6.07590405684642e-07,0.0,-6.07590405684642e-07,-6.07590405684642e-07,descriptive mean after within-subset peak normalization
1,4,1,0.8256462264935531,0.0,0.8256462264935531,0.8256462264935531,descriptive mean after within-subset peak normalization
2,4,1,0.7380908037304406,0.0,0.7380908037304406,0.7380908037304406,descriptive mean after within-subset peak normalization
3,4,1,0.8818618840284264,0.0,0.8818618840284264,0.8818618840284264,descriptive mean after within-subset peak normalization
4,4,1,0.7675104821037915,0.0,0.7675104821037915,0.7675104821037915,descriptive mean after within-subset peak normalization
5,4,1,0.8887065840014505,0.0,0.8887065840014505,0.8887065840014505,descriptive mean after within-subset peak normalization
6,4,1,0.900124448336522,0.0,0.900124448336522,0.900124448336522,descriptive mean after within-subset peak normalization
7,4,1,0.8669086142156421,0.0,0.8669086142156421,0.8669086142156421,descriptive mean after within-subset peak normalization
8,4,1,0.9024977650154578,0.0,0.9024977650154578,0.9024977650154578,descriptive mean after within-subset peak normalization
9,4,1,0.886862058394157,0.0,0.886862058394157,0.886862058394157,descriptive mean after within-subset peak normalization
10,4,1,0.8786619723918637,0.0,0.8786619723918637,0.8786619723918637,descriptive mean after within-subset peak normalization
11,4,1,0.936026903488386,0.0,0.936026903488386,0.936026903488386,descriptive mean after within-subset peak normalization
12,4,1,0.38547489757045783,0.0,0.38547489757045783,0.38547489757045783,descriptive mean after within-subset peak normalization
13,4,1,0.8649561890663048,0.0,0.8649561890663048,0.8649561890663048,descriptive mean after within-subset peak normalization
14,4,1,1.0,0.0,1.0,1.0,descriptive mean after within-subset peak normalization
15,4,1,0.7350799052315095,0.0,0.7350799052315095,0.7350799052315095,descriptive mean after within-subset peak normalization
16,4,1,0.7175892074102131,0.0,0.7175892074102131,0.7175892074102131,descriptive mean after within-subset peak normalization
17,4,1,0.9325643989079202,0.0,0.9325643989079202,0.9325643989079202,descriptive mean after within-subset peak normalization
18,4,1,0.8300192685991227,0.0,0.8300192685991227,0.8300192685991227,descriptive mean after within-subset peak normalization
19,4,1,0.8886158932551828,0.0,0.8886158932551828,0.8886158932551828,descriptive mean after within-subset peak normalization
20,4,1,0.8703639891456334,0.0,0.8703639891456334,0.8703639891456334,descriptive mean after within-subset peak normalization
21,4,1,0.8021844850997111,0.0,0.8021844850997111,0.8021844850997111,descriptive mean after within-subset peak normalization
22,4,1,0.869351431718126,0.0,0.869351431718126,0.869351431718126,descriptive mean after within-subset peak normalization
23,4,1,0.8968095710860545,0.0,0.8968095710860545,0.8968095710860545,descriptive mean after within-subset peak normalization
24,4,1,0.8572210479387381,0.0,0.8572210479387381,0.8572210479387381,descriptive mean after within-subset peak normalization
25,4,1,0.8799600376014316,0.0,0.8799600376014316,0.8799600376014316,descriptive mean after within-subset peak normalization
26,4,1,0.9083112453027996,0.0,0.9083112453027996,0.9083112453027996,descriptive mean after within-subset peak normalization
27,4,1,0.8974021503045734,0.0,0.8974021503045734,0.8974021503045734,descriptive mean after within-subset peak normalization
28,4,1,0.8764409707217706,0.0,0.8764409707217706,0.8764409707217706,descriptive mean after within-subset peak normalization
29,4,1,0.9059031572035043,0.0,0.9059031572035043,0.9059031572035043,descriptive mean after within-subset peak normalization
30,4,1,0.8076468256783133,0.0,0.8076468256783133,0.8076468256783133,descriptive mean after within-subset peak normalization
