deletion_position,deletion_identity,deletion_support_sha256,layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,5,11,2560,1,7362,6596,209,557,800,1000,0.6754692643880844,0.6218189100424448,0.32793472168998417,2.243694305419922
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,5,23,2560,1,7362,6596,209,557,950,1000,0.7371747493743896,0.7448192735513052,0.3611829696164523,2.5371627807617188
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,5,37,2560,1,7362,6596,209,557,950,1000,0.7072612792253494,0.6485879123210907,0.38392640200244427,2.3112261295318604
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,6,11,2560,1,7362,6596,209,557,850,1000,0.9742654263973236,0.9523156931002935,0.4031276271755591,4.042521953582764
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,6,23,2560,1,7362,6596,209,557,1000,1000,0.9617314264178276,0.9272617151339849,0.4636093532255923,4.657087802886963
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,6,37,2560,1,7362,6596,209,557,950,1000,0.9552813768386841,0.8949367503325144,0.4313948658029445,4.513676166534424
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,3,7,11,2560,1,7362,6596,209,557,1000,1000,0.8233197331428528,0.6471996009349823,0.521733670560434,3.8311479091644287
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,3,7,23,2560,1,7362,6596,209,557,975,1000,0.8531809598207474,0.8006328791379929,0.27784874494711137,4.293789386749268
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,3,7,37,2560,1,7362,6596,209,557,975,1000,0.8890807628631592,0.7397274176279703,0.5116285471368879,4.363036155700684
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,8,11,2560,1,7362,6596,209,557,950,1000,1.0037633180618286,1.040945013364156,0.17259749374470945,3.850165843963623
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,8,23,2560,1,7362,6596,209,557,1000,1000,0.9677455425262451,1.023104468981425,0.1469530813238091,4.127876281738281
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,8,37,2560,1,7362,6596,209,557,900,1000,0.8953909575939178,0.9392954111099243,0.16351189623291304,3.5644493103027344
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,9,11,2560,1,7362,6596,209,557,925,1000,0.7138542532920837,0.7802216509977976,0.22669380942756281,3.1032795906066895
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,9,23,2560,1,7362,6596,209,557,975,1000,0.7405073568224907,0.8066240896781286,0.2853605329146155,3.2323124408721924
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,9,37,2560,1,7362,6596,209,557,975,1000,0.7410673648118973,0.76390008131663,0.20820973456674094,3.1099939346313477
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,10,11,2560,1,7362,6596,209,557,925,1000,1.0950177907943726,0.8557742387056351,0.330978829490996,3.7114827632904053
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,10,23,2560,1,7362,6596,209,557,925,1000,1.0294315740466118,0.8324609622359276,0.2981805748466553,3.796067476272583
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,10,37,2560,1,7362,6596,209,557,1000,1000,1.1555800288915634,0.952902947862943,0.34283231479586573,4.525628089904785
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,3,11,11,2560,1,7362,6596,209,557,700,950,0.9041938781738281,0.35406861702601117,0.4959903697282308,3.253974199295044
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,3,11,23,2560,1,7362,6596,209,557,975,1000,1.128562331199646,-1.5227402846018474,2.247388344521586,4.3236284255981445
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,3,11,37,2560,1,7362,6596,209,557,475,725,0.7027977705001831,0.5142701069513956,0.2030324241711904,2.217385768890381
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,12,11,2560,1,7362,6596,209,557,975,1000,0.8946007192134857,0.926683376232783,0.1462638560960203,3.7742419242858887
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,12,23,2560,1,7362,6596,209,557,850,1000,0.8026837855577469,0.8319250444571177,0.16993338995536778,3.358008623123169
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,12,37,2560,1,7362,6596,209,557,900,1000,0.8606541156768799,0.8710097471872965,0.15138829899397335,3.424139976501465
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,3,13,11,2560,1,7362,6596,209,557,925,1000,0.7722986936569214,0.7631033658981323,0.2742985662517381,2.8400096893310547
