layer,order_k,subset_mask,score_mean,critic_seed_sd,n_critic_seeds
23,1,4,1.0460331737995148,0.08870382449423188,3
23,2,5,0.689793007241355,0.01748359999805478,3
23,2,6,0.9931981902983454,0.09630980688678528,3
23,3,7,0.5493651578823726,0.07206534086123163,3
23,1,8,1.1242582930458918,0.011773588436984858,3
23,2,9,0.8445962137646145,0.06996268599460972,3
23,2,10,1.050788735349973,0.04322985894768275,3
23,3,11,0.506066072318289,0.05632740445922881,3
23,2,12,0.9525596598784128,0.035638395518318676,3
23,3,13,0.7137946850723691,0.05519444055843383,3
23,3,14,0.9831774599022335,0.042845520838775616,3
23,4,15,0.5645020140541924,0.07908542181060911,3
24,1,1,0.797911180390252,0.02518802685886892,3
24,1,2,1.1605295936266582,0.0824351685360651,3
24,2,3,0.6502175513241025,0.10669469547109321,3
24,1,4,0.929474284251531,0.15596796627349183,3
24,2,5,0.7011805060837003,0.05170564088596285,3
24,2,6,0.9904679490460291,0.05104923591838476,3
24,3,7,0.6202800323565801,0.05215502315687085,3
24,1,8,1.0731455352571275,0.08393655124033166,3
24,2,9,0.8765163388517166,0.031093384327398426,3
24,2,10,0.9901743150419658,0.11460725554087632,3
24,3,11,0.48551111916701,0.06331903701408494,3
24,2,12,0.9448768662081823,0.0820186516585839,3
24,3,13,0.721054239405526,0.09765566631856934,3
24,3,14,1.0192426525884204,0.03145527625066726,3
24,4,15,0.5335516499148475,0.08116055481911665,3
25,1,1,0.8473376565509372,0.08511949479077571,3
25,1,2,1.261499630080329,0.02130625137970375,3
25,2,3,0.7640985283586713,0.053595043066116704,3
25,1,4,0.9580699370967017,0.20682198486029532,3
25,2,5,0.7555459092060725,0.06180019749195684,3
25,2,6,0.9964670447839631,0.037998663332233784,3
25,3,7,0.6511822698844804,0.07790883232916042,3
25,1,8,1.1040000915527344,0.04924590363978886,3
25,2,9,0.8696435838937759,0.011667747481619313,3
25,2,10,1.0243181784947712,0.029185349013895828,3
25,3,11,0.5562331957949532,0.07958860389435915,3
25,2,12,0.97213167614407,0.057462541170963305,3
25,3,13,0.7196800311406454,0.12277464541745547,3
25,3,14,0.9912428143951627,0.025442696966387308,3
25,4,15,0.505045524901814,0.15038314736814518,3
26,1,1,0.7992162075307635,0.14390031949607265,3
26,1,2,1.188465995921029,0.0887579500290473,3
26,2,3,0.7656293875641292,0.052181442052080994,3
26,1,4,0.8017872936195798,0.3411365113147275,3
26,2,5,0.6870541150371233,0.07951491101666423,3
26,2,6,0.975067910220888,0.022442673633790877,3
26,3,7,0.3817904310093985,0.37643139245765056,3
26,1,8,1.1042304767502678,0.04329942195027593,3
26,2,9,0.8847406572765775,0.05549292188731383,3
26,2,10,1.0525479796859953,0.043806211561616015,3
26,3,11,0.4946949548191495,0.1814841195929251,3
26,2,12,1.0248491399817998,0.04604921145788063,3
