layer,order_k,n_subset_masks,descriptive_score_mean_across_subsets,descriptive_score_sd_across_subsets,max_subset_critic_seed_sd
11,1,4,0.9555709850456982,0.10584974898707601,0.09862614873839673
11,2,6,0.8385970041983658,0.1282810504708857,0.15677067387825458
11,3,4,0.7728419988933537,0.1371003988994182,0.05663025125263539
11,4,1,0.7007977979050741,0.0,0.06863346230286518
12,1,4,0.9978192349274954,0.17260131177111698,0.11081491546295506
12,2,6,0.8817484887937704,0.1243565794648082,0.07187504850043001
12,3,4,0.7241488471627235,0.23249976832475314,0.2208076001102214
12,4,1,0.28860277237577575,0.0,0.6556075095246826
13,1,4,0.9663665758238899,0.1444965843244453,0.14966746649664892
13,2,6,0.8441987843425185,0.1210359928947301,0.0982012750161066
13,3,4,0.7316078572637505,0.1704374220941658,0.15673248103003398
13,4,1,0.6475875750184059,0.0,0.10168630901144582
14,1,4,0.9801545101735327,0.1583966754884841,0.13269404570861565
14,2,6,0.8391441247529454,0.13837718495505513,0.19458726031342377
14,3,4,0.7242353887607653,0.18293295999713582,0.15704442961166237
14,4,1,0.7486940763062901,0.0,0.03748436931726036
15,1,4,0.931347857746813,0.19021698864095413,0.12562523284871052
15,2,6,0.8633705314110826,0.12589912922292404,0.1284640771936213
15,3,4,0.75853366839389,0.12995030454652648,0.11930446511043238
15,4,1,0.5503499706586202,0.0,0.3214295582249612
16,1,4,1.0140392316712274,0.16068870900916346,0.11228876804152142
16,2,6,0.833685555667789,0.09118383070995979,0.20692714647877672
16,3,4,0.7340576383802626,0.13892512692386808,0.11241333290024723
16,4,1,0.5372547888093524,0.0,0.28174516843394676
17,1,4,0.9740878293911616,0.14923464071387416,0.10750433898159087
17,2,6,0.8314907819170644,0.10679847604605994,0.1523165850869237
17,3,4,0.6751720230612489,0.16807414688090716,0.12422201819641635
17,4,1,0.698205441236496,0.0,0.019089404313662472
18,1,4,0.9315919031699499,0.15088527445205183,0.1392835155115874
18,2,6,0.8012278931284392,0.13133036357449487,0.11828087769536737
18,3,4,0.7148925924880637,0.140194620362556,0.07763511110929444
18,4,1,0.6214305096202427,0.0,0.07300452943790407
19,1,4,0.930919153822793,0.14964847308966814,0.12427887540828872
19,2,6,0.8054138390968243,0.15294848469849395,0.15215775542185003
19,3,4,0.6684851553291082,0.18432000711047392,0.2008325976701938
19,4,1,0.665301455391778,0.0,0.01462777209148457
20,1,4,0.952112540602684,0.14959640337546384,0.144924359592547
20,2,6,0.7887991426719559,0.1418046787541436,0.25719829354140883
20,3,4,0.7041659853938554,0.16161535445443834,0.14211243070273702
