layer,order_k,subset_mask,score_mean,critic_seed_sd,score_min,score_max,mean_best_val,mean_best_step,mean_final_training_step,mean_product_shuffle_sd,mean_joint_minus_mismatch_score
4,3,7,0.5776415599717035,0.05834255150441322,0.5193332632382711,0.636018306016922,0.7329067314664522,916.6666666666666,1000.0,0.4084737130349292,3.141526381174723
4,3,11,0.6134011463986503,0.03819318512503048,0.5740724802017212,0.6503473023573557,0.832347683608532,800.0,1000.0,0.49505411240747677,3.31804625193278
4,3,13,0.6102856563197242,0.17585284233696377,0.42499367396036786,0.7748648325602213,0.6343981648484865,716.6666666666666,891.6666666666666,0.2429889711289369,2.0211473306020102
4,3,14,0.859180670645502,0.05219176151719439,0.8047320495049158,0.9087766309579214,0.9519405017296473,966.6666666666666,1000.0,0.3997850310211839,5.098267873128255
4,4,15,0.5746305514540936,0.0737625528948452,0.5209467622141043,0.658738948404789,0.7933040906985601,966.6666666666666,1000.0,0.3044423326892909,4.202157338460286
5,1,1,0.7842942211363052,0.027234020402280065,0.7541623910268148,0.807154138882955,0.7128222535053889,875.0,1000.0,0.38458933573529835,2.552399476369222
5,1,2,1.0833768447240193,0.032541199730006104,1.0467805067698162,1.1090547641118367,1.2658028999964397,950.0,1000.0,0.4373206727386853,6.014060656229655
5,1,4,1.015986310111152,0.07227472979062345,0.9448862075805664,1.0893810192743938,1.0337771972020466,925.0,1000.0,0.22059497628262859,4.373609701792399
5,1,8,1.0417351689603593,0.07232780141081349,0.9643419086933136,1.1076167821884155,1.0611365636189778,916.6666666666666,1000.0,0.22244028989068423,4.360766410827637
5,2,3,0.7222220823168755,0.07128655919237845,0.6421290412545204,0.7787185907363892,0.7506950671474139,891.6666666666666,983.3333333333334,0.34018078629060194,3.4902499516805015
5,2,5,0.5976717505190109,0.022485907828405854,0.5717299481232961,0.6115824480851492,0.6683859849969546,975.0,1000.0,0.3202673029089838,2.3579273223876953
5,2,6,0.855014047688908,0.04667324670161456,0.8116860787073771,0.9044342438379923,1.0462238043546677,933.3333333333334,1000.0,0.4222799405460944,4.828835487365723
