layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
2,2,3,11,2560,1,8210,7352,245,613,975,1000,0.6983636543154716,0.6308202520012856,0.3595852355875974,3.076694965362549
2,2,3,23,2560,1,8210,7352,245,613,975,1000,0.6256382539868355,0.05714742342631022,1.2526479800099186,2.812622308731079
2,2,3,37,2560,1,8210,7352,245,613,550,800,0.5710171386599541,0.4799325962861379,0.41134434902098665,2.360837936401367
2,2,5,11,2560,1,8210,7352,245,613,950,1000,0.6271806955337524,0.05012095967928568,1.0057959482394008,1.9291749000549316
2,2,5,23,2560,1,8210,7352,245,613,850,1000,0.6333797760307789,0.5798810025056204,0.3186663157962083,1.9906038045883179
2,2,5,37,2560,1,8210,7352,245,613,975,1000,0.5932296961545944,0.5426308860381445,0.33290666893240145,2.051485538482666
2,2,6,11,2560,1,8210,7352,245,613,925,1000,1.0991650819778442,0.9189520180225372,0.38572804657740656,4.731093883514404
2,2,6,23,2560,1,8210,7352,245,613,1000,1000,1.023589976131916,0.8436406503121058,0.4013741465604262,4.629579544067383
2,2,6,37,2560,1,8210,7352,245,613,1000,1000,1.0775742381811142,0.8354658683141073,0.3910978956868475,4.887518882751465
2,2,9,11,2560,1,8210,7352,245,613,975,1000,0.6944539397954941,0.6734168032805125,0.2374603490050754,2.8072683811187744
2,2,9,23,2560,1,8210,7352,245,613,975,1000,0.6979901045560837,0.6855467955271403,0.26937189383255633,2.799421548843384
2,2,9,37,2560,1,8210,7352,245,613,950,1000,0.6304625272750854,0.7650153239568075,0.2610183980084098,2.8210391998291016
2,2,10,11,2560,1,8210,7352,245,613,875,1000,1.0343844890594482,0.7132443885008494,0.3018178409240922,3.7129287719726562
2,2,10,23,2560,1,8210,7352,245,613,800,1000,0.9607871845364571,0.6841807663440704,0.37512342787016656,3.6246581077575684
2,2,10,37,2560,1,8210,7352,245,613,975,1000,0.9815637022256851,0.8800371835629145,0.2661202005673035,3.885378122329712
2,2,12,11,2560,1,8210,7352,245,613,875,1000,0.7363940477371216,0.8656731049219767,0.13987836161999273,3.570312023162842
2,2,12,23,2560,1,8210,7352,245,613,850,1000,0.7652715444564819,0.8597403764724731,0.16610386380224818,3.396200180053711
2,2,12,37,2560,1,8210,7352,245,613,1000,1000,0.7392824292182922,0.8409399588902792,0.16208669052098895,4.116318702697754
2,3,7,11,2560,1,8210,7352,245,613,1000,1000,0.8364189863204956,0.7349439958731333,0.4126047945170993,4.240783214569092
2,3,7,23,2560,1,8210,7352,245,613,900,1000,0.7730202674865723,0.2227626939614614,0.8990937102754294,3.6490938663482666
2,3,7,37,2560,1,8210,7352,245,613,875,1000,0.7605821490287781,0.6352685292561849,0.32366555656845325,3.313223361968994
