family,representation_dim,target_dim,node_index,node,scenario,expected,order_k,gain,noise_sigma,true_mi_nats,target_seed,direction_seed,noise_seed,critic_seed,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
dim2560_adversarial_relative_retention_suite,2560,1,14,ho_advantage_final_k3,ho_advantage,positive,3,1.0,1.0,0.34657359027997264,20260941,20260942,20260964,37,150,400,0.06325116753578186,0.05896806220213572,0.009779268357451335,0.1754343956708908
dim2560_adversarial_relative_retention_suite,2560,1,15,ho_advantage_final_k4,ho_advantage,positive,4,1.2,1.0,0.44599901965255523,20260941,20260942,20260965,11,175,425,0.10682797431945801,0.10178728153308232,0.008505062716544425,0.3271721601486206
dim2560_adversarial_relative_retention_suite,2560,1,15,ho_advantage_final_k4,ho_advantage,positive,4,1.2,1.0,0.44599901965255523,20260941,20260942,20260965,23,225,475,0.11420291662216187,0.1380149026711782,0.024194609266047887,0.48433199524879456
dim2560_adversarial_relative_retention_suite,2560,1,15,ho_advantage_final_k4,ho_advantage,positive,4,1.2,1.0,0.44599901965255523,20260941,20260942,20260965,37,200,450,0.10537119209766388,0.13219314316908518,0.01679291682857173,0.3666068911552429
dim2560_adversarial_relative_retention_suite,2560,1,16,flat_moderate_final_k1,flat_moderate,flat,1,0.5,1.0,0.11157177565710488,20260941,20260942,20260966,11,75,325,0.003113286569714546,0.002790297381579876,0.00035814354064158066,0.004931681789457798
dim2560_adversarial_relative_retention_suite,2560,1,16,flat_moderate_final_k1,flat_moderate,flat,1,0.5,1.0,0.11157177565710488,20260941,20260942,20260966,23,100,350,0.0076780617237091064,0.007973700761795044,0.0014660388930785259,0.02111084759235382
dim2560_adversarial_relative_retention_suite,2560,1,16,flat_moderate_final_k1,flat_moderate,flat,1,0.5,1.0,0.11157177565710488,20260941,20260942,20260966,37,75,325,0.004208922386169434,0.004582643508911133,0.000409908845784352,0.006523348391056061
dim2560_adversarial_relative_retention_suite,2560,1,17,flat_moderate_final_k2,flat_moderate,flat,2,0.5,1.0,0.11157177565710488,20260941,20260942,20260967,11,100,350,0.006831723963841796,0.0015433637502913673,0.006348820299497293,0.02566291019320488
dim2560_adversarial_relative_retention_suite,2560,1,17,flat_moderate_final_k2,flat_moderate,flat,2,0.5,1.0,0.11157177565710488,20260941,20260942,20260967,23,75,325,0.0015578046441078186,0.0017097493012746174,0.0003221176083036256,0.003058120608329773
dim2560_adversarial_relative_retention_suite,2560,1,17,flat_moderate_final_k2,flat_moderate,flat,2,0.5,1.0,0.11157177565710488,20260941,20260942,20260967,37,75,325,0.003356143832206726,0.0032827183604240417,0.0005787957248551882,0.005368240177631378
dim2560_adversarial_relative_retention_suite,2560,1,18,flat_moderate_final_k3,flat_moderate,flat,3,0.5,1.0,0.11157177565710488,20260941,20260942,20260968,11,75,325,0.0019981632358394563,0.0031840543185050287,0.000559152357894658,0.0036832138430327177
dim2560_adversarial_relative_retention_suite,2560,1,18,flat_moderate_final_k3,flat_moderate,flat,3,0.5,1.0,0.11157177565710488,20260941,20260942,20260968,23,75,325,0.0013832002878189087,0.0015976230303446453,0.00039447199108009416,0.0023070871829986572
dim2560_adversarial_relative_retention_suite,2560,1,18,flat_moderate_final_k3,flat_moderate,flat,3,0.5,1.0,0.11157177565710488,20260941,20260942,20260968,37,75,325,0.0026482343673706055,0.003530030449231466,0.00042124172276459735,0.003669425845146179
dim2560_adversarial_relative_retention_suite,2560,1,19,flat_moderate_final_k4,flat_moderate,flat,4,0.5,1.0,0.11157177565710488,20260941,20260942,20260969,11,75,325,0.0010778019204735756,0.003573823099335035,0.0006654505664677733,0.009765362367033958
dim2560_adversarial_relative_retention_suite,2560,1,19,flat_moderate_final_k4,flat_moderate,flat,4,0.5,1.0,0.11157177565710488,20260941,20260942,20260969,23,75,325,0.0018750354647636414,0.0030894031127293906,0.0005139642064599852,0.005840778350830078
dim2560_adversarial_relative_retention_suite,2560,1,19,flat_moderate_final_k4,flat_moderate,flat,4,0.5,1.0,0.11157177565710488,20260941,20260942,20260969,37,75,325,0.002108752727508545,0.0036552846431732178,0.0005173647824765863,0.007237240672111511
