critic_seed,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score,pairing_sensitivity_original_cyclic_shift_mean,pairing_sensitivity_original_cyclic_shift_sd,pairing_sensitivity_derandomized_shift_mean,pairing_sensitivity_derandomized_shift_sd,pairing_sensitivity_full_permutation_mean,pairing_sensitivity_full_permutation_sd,pairing_sensitivity_cyclic_vs_derandomized_gap,pairing_sensitivity_cyclic_vs_full_permutation_gap,layer,subset_mask,order_k,representation_dim,n_train,n_val,n_test,run_fingerprint
11,875,1000,0.7928769662976265,0.6011262734731039,0.6065957490156801,3.9892005920410156,0.6011262734731039,0.6065957490156801,1.0042463143666585,0.10763801059459119,0.9366284012794495,0.23478668122032587,0.4031200408935546,0.3355021278063456,1,7,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,900,1000,0.873069278895855,0.6859289109706879,0.464180638591908,4.2645416259765625,0.6859289109706879,0.464180638591908,1.0236539840698242,0.0748573303625014,1.062033474445343,0.09809647128629073,0.33772507309913635,0.37610456347465515,1,7,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,875,1000,0.8644347190856934,0.7060451904932658,0.43571739561502015,4.655481815338135,0.7060451904932658,0.43571739561502015,0.9986329476038615,0.06931611110486327,1.0078789293766022,0.10110067893886626,0.2925877571105957,0.3018337388833364,1,7,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,975,1000,0.9768403768539429,0.9549295902252197,0.15431181109059477,3.9294919967651367,0.9549295902252197,0.15431181109059477,1.2239205837249756,0.06382503378784216,1.1430566906929016,0.1268920999183926,0.26899099349975586,0.18812710046768188,1,8,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,900,1000,0.8978802263736725,0.9609288771947225,0.17742477001508825,3.978285312652588,0.9609288771947225,0.17742477001508825,1.227675239245097,0.046124500967223675,1.1380168795585632,0.14398249948992312,0.2667463620503744,0.1770880023638407,1,8,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,1000,1000,1.0833109468221664,0.9513671000798544,0.18057031511346605,4.546319961547852,0.9513671000798544,0.18057031511346605,1.2391778628031414,0.08666087949266005,1.096099779009819,0.23025945934628336,0.287810762723287,0.14473267892996466,1,8,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,975,1000,0.6962776929140091,0.6522647539774576,0.2464470078844372,2.432162284851074,0.6522647539774576,0.2464470078844372,1.0340957641601562,0.05340991838615791,1.0311204195022583,0.06703018068622686,0.3818310101826986,0.37885566552480066,1,9,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,850,1000,0.6723536103963852,0.6264614959557852,0.22735387995574804,2.3347151279449463,0.6264614959557852,0.22735387995574804,1.0319159030914307,0.07547334114790626,1.0381891131401062,0.07346145313757915,0.4054544071356455,0.41172761718432105,1,9,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,950,1000,0.6455897092819214,0.7039090494314829,0.25062745954015636,2.5978009700775146,0.7039090494314829,0.25062745954015636,1.0737849871317546,0.052522433610427036,1.0800571516156197,0.06438042746609085,0.3698759377002717,0.37614810218413675,1,9,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,975,1000,0.9623503684997559,0.6027835508187612,0.4414056664914823,3.95943021774292,0.6027835508187612,0.4414056664914823,0.9226052363713583,0.07597670515918004,0.9624316096305847,0.10333811337918174,0.31982168555259705,0.3596480588118235,1,10,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
