layer,order_k,subset_mask,primary_score_mean,primary_critic_seed_sd,primary_score_min,primary_score_max,mean_best_val,mean_best_step,random_null_mean,random_null_sd_across_derangements,random_null_min,random_null_max,random_null_derangements_ge_primary,n_derangements,primary_minus_random_null_mean
30,1,8,-0.052255354821681976,0.04494091591978395,-0.08037476738293965,-0.0004244968295097351,0.02380945285161336,225.0,-0.001939814884422554,0.0002859879527110453,-0.002275846665725112,-0.0015109360425008668,5,5,-0.05031553993725942
30,2,3,-0.0010839907659424676,0.0003055848021617297,-0.0014367227753003438,-0.0008994291226069132,-0.0036863510807355246,41.666666666666664,-0.00194983979066213,0.0014638148005942674,-0.004474945366382599,-0.0009336868921915689,2,5,0.0008658490247196624
30,2,5,-0.002871651202440262,0.001487092760770839,-0.00453115130464236,-0.001659815510114034,-0.002709781751036644,41.666666666666664,-0.0012603462984164555,0.0002257530518459525,-0.0015736259520053864,-0.000983526309331258,5,5,-0.0016113049040238064
30,2,6,-0.0036505270335409376,0.002101806440234697,-0.005939294894536336,-0.0018070389827092488,-0.0016368354360262554,33.333333333333336,-0.0022730821536646947,0.0004207584807851385,-0.0029546250071790484,-0.0019329537947972615,5,5,-0.0013774448798762428
30,2,9,-0.7285213462180562,0.371579047343364,-1.142073631286621,-0.42274081458648044,0.14851831768949827,325.0,-0.0012215651571750642,0.00022805882244174736,-0.0014447329772843255,-0.0008892052703433567,5,5,-0.7272997810608811
30,2,10,-0.14314504278202853,0.1554313393388596,-0.3187096913655599,-0.02308746675650279,0.0172494575381279,191.66666666666666,-0.0008179882334338294,0.0007737865677420407,-0.0018536750641134048,9.929347369405954e-05,5,5,-0.1423270545485947
30,2,12,0.018607383800877463,0.026259386675311223,0.0015603825449943542,0.048847357432047524,0.0004538620511690776,133.33333333333334,-0.0015703629702329635,0.0005976237568072522,-0.002211492301689254,-0.00084142138560613,0,5,0.020177746771110425
30,3,7,-0.0017933804127905106,0.000870242081729005,-0.002766042947769165,-0.0010884925723075867,-0.0023198391621311507,25.0,-0.0018405841456519232,0.0027729215223101875,-0.0068002839883168536,-0.0005239778094821506,4,5,4.7203732861412617e-05
30,3,11,-0.0014511549638377298,0.00024962654123054484,-0.0017168372869491577,-0.001221499095360438,-0.0032186992466449738,33.333333333333336,-0.0015809713966316648,0.002290092400290735,-0.005675007692641682,-0.0004743521826134788,4,5,0.00012981643279393507
30,3,13,-0.29939096897012657,0.2170398110017657,-0.4718143939971924,-0.055670839423934616,0.06941102212294936,208.33333333333334,-0.000765128019783232,0.0001777841231790252,-0.000861362036731508,-0.0004500485956668854,5,5,-0.29862584095034334
