family,layer,order_k,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,subset_masks,null_cube_shift,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
primary,7,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,550,800,1.2350093126296997,0.09100612004597981,0.09087404909475852,2.5189576148986816
primary,7,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,400,650,0.9686955213546753,0.13238143920898438,0.06017815439116001,2.0165765285491943
primary,7,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,400,650,1.053011640906334,0.2514084378878276,0.050290956349524726,1.9909560680389404
primary,7,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,450,700,0.5977842807769775,-0.7005648612976074,0.05421743985255879,0.4146583080291748
primary,7,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.6940193176269531,-0.7875384489695231,0.0486787745798192,0.39890921115875244
primary,7,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,350,600,0.5955771803855896,-0.5418624679247538,0.02834221752104001,0.408713161945343
primary,7,4,11,2560,1,8210,7352,245,613,15,0,175,425,0.003754632081836462,-0.12903166313966116,0.01789372217006031,-0.019963935017585754
primary,7,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.0014738589525222778,-0.0005571867028872172,9.998645948625547e-05,5.684792995452881e-06
primary,7,4,37,2560,1,8210,7352,245,613,15,0,225,475,0.031058100052177906,-0.4099143147468567,0.02470334730916121,0.024314045906066895
primary,8,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,425,675,0.8019413352012634,1.062711199124654,0.07936105445315943,3.092960834503174
primary,8,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,400,650,0.842476487159729,0.7295520702997843,0.12866658566040526,2.9961915016174316
primary,8,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.7112530469894409,0.6071943839391073,0.14745325000308906,2.9560861587524414
primary,8,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,550,800,1.489509105682373,0.29671406745910645,0.05123525479596414,2.3608996868133545
primary,8,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.4179030656814575,0.19549147288004556,0.05602205098975844,2.2140274047851562
primary,8,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.5007824897766113,0.13144896427790323,0.05121457707034755,2.3288655281066895
primary,8,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,400,650,0.5014007091522217,-0.7429755528767904,0.04454398884613575,0.45973002910614014
primary,8,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.5810045599937439,-0.7848174571990967,0.053346789978045,0.531191349029541
primary,8,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,450,700,0.42597275972366333,-0.7966045141220093,0.057952520270161755,0.42803966999053955
primary,8,4,11,2560,1,8210,7352,245,613,15,0,25,275,-0.002840973436832428,-0.001291246774295966,0.00028831795121345047,-0.00021393224596977234
primary,8,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.002166450023651123,-0.0011580710609753926,0.00010786595693180592,5.1490962505340576e-05
primary,8,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.0021925270557403564,-0.000851847231388092,8.003800831702698e-05,-0.00015404820442199707
primary,9,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,875,1000,1.277398943901062,-0.18569302558898926,0.06910194687403627,4.404362201690674
primary,9,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,725,975,1.6183875799179077,0.2059767246246338,0.24607410262856816,4.021639347076416
primary,9,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,1.6042261123657227,0.4339619080225627,0.32583859551264366,3.0556702613830566
primary,9,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,700,950,1.23822820186615,-0.19717137018839517,0.0773974736184204,2.7860732078552246
primary,9,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,675,925,1.2845066785812378,0.001248757044474284,0.07919355587752894,2.8463730812072754
primary,9,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,600,850,1.2880804538726807,0.030763943990071613,0.08007882969973751,2.602677583694458
